Ã‰tat,0,1,2,3
0,0.5307363450312498,0.5194734774843491,0.6090436495101909,0.6636368358225857
1,0.5382434709642575,0.7177137475818427,0.6023092030991659,0.6862899567751735
2,0.29910322039829923,0.7286828284155603,0.591220599132714,0.2805509936458332
3,0.764269880143229,0.8026352546542554,0.3676840618131385,-3.0
4,0.8253927008453654,0.22464391119584926,0.11359478208139362,0.6611690170952736
5,0.5796230665542965,0.7034286512918148,0.6610909056138516,0.6071262876511379
6,0.6255152759761586,0.7573263039416982,0.41583199900421625,0.7651588070535711
7,0.6730331713972354,0.8023471166254732,0.6723465471037945,0.7506547779017856
8,0.6855082182794209,0.8437206746206859,0.6899516575199641,0.7445176624130238
9,-3.0,0.8578945047726807,0.7404602272727272,0.43139302083333325
10,0.5262619249119088,0.6504357221898189,0.6198399834877231,0.7566709926326998
11,0.7255356960468747,0.612578556281289,0.7139622205228598,0.8090274360596716
12,0.767067249954044,0.8528450841595874,0.7493223601051623,0.6004687053571428
13,0.711780729504376,0.8940054908859564,0.8065648140624999,0.6257870535714285
14,0.036524201388888844,0.9492578124999996,0.8480867708333332,0.8757947743055555
15,0.713527959571869,0.5098860676919988,0.649000599384176,0.6799141152221885
16,0.7543767664193073,0.662874373617057,0.5342960554216677,0.8055940624999999
17,0.5761177243303572,0.8993127000734629,0.6796250331328124,0.8405941406249998
18,0.7901414689837469,0.9478661167512689,0.79735875,0.8812464985871364
19,0.8838990989583332,1.0,0.9025,0.9433839285714285
20,0.6603788869863519,0.5830192972030452,0.5627629271916539,0.5985748252232139
21,0.7341439477569384,0.6932762851494139,0.6027843567196014,0.7502893908385416
22,0.8023746616796873,0.8575630208333332,0.6366956001500899,0.9486796744574291
23,0.9025,0.95,0.8941196428571427,1.0
24,0.14521053945080298,0.9705355104466438,0.5000067360647077,0.5445802253241063
