Ã‰tat,0,1,2,3,4
0,0.31666666666666665,0.6709039548022601,0.31666666666666665,0.475,0.475
1,0.6333333333333333,0.7204697986577181,0.4543478260869565,0.57,0.285
2,0.57,0.6957746478873237,0.42222222222222217,0.2714285714285714,0.2375
3,0.475,0.6333333333333333,0.5428571428571428,0.475,0.31666666666666665
4,0.6785714285714285,0.7347290640394092,0.6333333333333333,0.475,0.38
5,0.5,0.8,0.3536853799039209,0.27365453494802183,0.5997623875342494
6,0.5,0.044448081926243166,1.0,0.12901473292240873,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.04727831533622784,0.5722817572201576,0.4278472904229268,0.49415692173027437,1.0
9,0.7843137254901958,0.2222222222222222,0.0,0.0,0.0
10,0.0,0.0,0.8106796116504853,0.0,0.0
11,0.0,0.16666666666666669,0.0,0.8343558282208591,0.0
12,0.0,0.25,0.0,0.0,0.7949999999999999
13,0.7499999999999999,0.6022345629979263,0.0,0.0,0.6467493579057321
14,0.0,0.5555555555555556,0.33333333333333337,0.0,0.1693084908787409
15,0.0,0.0,0.0,0.8,0.0
16,0.0,0.0,0.048268138570516705,0.0,0.75
17,1.0,0.0,0.0,0.0,0.0
18,0.0,0.6666666666666666,0.0,0.0,0.2699780473097275
19,0.0,0.22737288149465784,1.0,0.0,0.24597113416682126
20,0.0,0.21900351805822882,0.1500040127151201,0.6082971736409434,1.0
21,0.75,0.08432778765159343,0.0,0.4710332380855281,0.0
22,0.18755849269022906,0.8,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,0.14877002899793412,0.8685943193937087,0.4530007109314268,0.75,0.9650109405223826
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0
